AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2016-17,12,7.4,7.1,7.7,319,"4,074","56,883",> 100%
National,,All,2016-17,13,7.4,7,7.6,328,"3,868","55,436",> 100%
National,,All,2016-17,14,7.3,7,7.4,264,"3,790","54,884",> 100%
National,,All,2016-17,15,7.2,6.9,7.2,208,"3,762","54,789",> 100%
National,,All,2016-17,16,7.1,6.8,6.9,163,"3,477","53,012",> 100%
National,,All,2016-17,17,7,6.7,6.6,88,"3,449","53,215",> 100%
National,,All,2016-17,18,6.9,6.6,6.4,63,"3,301","52,597",> 100%
National,,All,2016-17,19,6.8,6.5,6.3,49,"3,206","51,944",> 100%
National,,All,2016-17,20,6.7,6.4,6.2,53,"3,193","52,414",> 100%
National,,All,2016-17,21,6.6,6.3,6.1,24,"3,082","50,918",> 100%
National,,All,2016-17,22,6.5,6.2,5.9,24,"3,006","51,137",> 100%
National,,All,2016-17,23,6.4,6.1,6.1,18,"3,102","51,116",> 100%
National,,All,2016-17,24,6.3,6,6.1,19,"3,059","50,553",> 100%
National,,All,2016-17,25,6.2,5.9,5.8,15,"2,971","51,122",> 100%
National,,All,2016-17,26,6.1,5.8,5.8,10,"2,942","50,533",> 100%
National,,All,2016-17,27,6,5.7,5.6,16,"2,818","50,866",> 100%
National,,All,2016-17,28,6,5.7,6.1,4,"3,027","49,865",> 100%
National,,All,2016-17,29,5.9,5.6,5.5,10,"2,739","50,046",> 100%
National,,All,2016-17,30,5.9,5.6,5.8,3,"2,833","49,197",> 100%
National,,All,2016-17,31,5.8,5.5,5.4,4,"2,676","49,939",> 100%
National,,All,2016-17,32,5.8,5.5,5.4,5,"2,705","50,122",> 100%
National,,All,2016-17,33,5.8,5.5,5.4,11,"2,667","50,004",> 100%
National,,All,2016-17,34,5.8,5.5,5.6,7,"2,740","49,297",> 100%
National,,All,2016-17,35,5.8,5.5,5.3,7,"2,690","50,604",> 100%
National,,All,2016-17,36,5.8,5.5,5.6,12,"2,808","50,786",> 100%
National,,All,2016-17,37,5.8,5.5,5.8,7,"2,990","51,470",> 100%
National,,All,2016-17,38,5.9,5.6,5.7,15,"2,908","51,000",> 100%
National,,All,2016-17,39,5.9,5.6,5.7,19,"2,867","51,029",> 100%
National,,All,2015-16,40,6.5,6.2,6.3,14,"3,197","50,975",> 100%
National,,All,2015-16,41,6.6,6.2,6.3,7,"3,134","49,919",> 100%
National,,All,2015-16,42,6.7,6.3,6.4,16,"3,222","50,788",> 100%
National,,All,2015-16,43,6.8,6.4,6.3,17,"3,161","50,325",> 100%
National,,All,2015-16,44,6.8,6.5,6.6,20,"3,348","51,052",> 100%
National,,All,2015-16,45,6.9,6.6,6.4,14,"3,224","50,626",> 100%
National,,All,2015-16,46,7.1,6.7,6.5,13,"3,347","51,682",> 100%
National,,All,2015-16,47,7.2,6.8,6.5,14,"3,326","51,343",> 100%
National,,All,2015-16,48,7.3,6.9,6.7,22,"3,450","51,886",> 100%
National,,All,2015-16,49,7.3,7,6.6,20,"3,526","53,575",> 100%
National,,All,2015-16,50,7.4,7.1,6.7,26,"3,474","52,102",> 100%
National,,All,2015-16,51,7.5,7.2,6.7,15,"3,529","53,037",> 100%
National,,All,2015-16,52,7.6,7.3,7.5,31,"3,915","52,464",> 100%
National,,All,2015-16,1,7.7,7.4,7.7,32,"4,245","55,845",> 100%
National,,All,2015-16,2,7.7,7.4,7.8,30,"4,283","55,577",> 100%
National,,All,2015-16,3,7.8,7.5,7.4,36,"4,048","55,219",> 100%
National,,All,2015-16,4,7.8,7.5,7.5,50,"4,116","55,663",> 100%
National,,All,2015-16,5,7.9,7.5,7.5,61,"4,086","55,136",> 100%
National,,All,2015-16,6,7.9,7.5,7.4,93,"3,990","55,457",> 100%
National,,All,2015-16,7,7.9,7.5,7.5,149,"4,051","56,168",> 100%
National,,All,2015-16,8,7.9,7.5,8,187,"4,231","55,199",> 100%
National,,All,2015-16,9,7.8,7.5,8.1,257,"4,250","55,921",> 100%
National,,All,2015-16,10,7.8,7.5,8.1,294,"4,286","56,206",> 100%
National,,All,2015-16,11,7.8,7.4,8.3,351,"4,154","54,583",> 100%
National,,All,2015-16,12,7.7,7.4,8.2,295,"4,194","54,808",> 100%
National,,All,2015-16,13,7.6,7.3,7.7,282,"3,896","53,937",> 100%
National,,All,2015-16,14,7.6,7.2,7.8,250,"3,945","54,068",> 100%
National,,All,2015-16,15,7.5,7.1,7.6,196,"3,891","53,492",> 100%
National,,All,2015-16,16,7.4,7,7.2,148,"3,684","53,152",> 100%
National,,All,2015-16,17,7.3,6.9,6.9,127,"3,398","51,027",> 100%
National,,All,2015-16,18,7.2,6.8,6.8,91,"3,402","51,271",> 100%
National,,All,2015-16,19,7.1,6.7,6.5,74,"3,240","51,000",> 100%
National,,All,2015-16,20,6.9,6.6,6.6,34,"3,290","50,468",> 100%
National,,All,2015-16,21,6.8,6.5,6.4,30,"3,198","50,491",> 100%
National,,All,2015-16,22,6.7,6.4,6.1,17,"3,025","49,712",> 100%
National,,All,2015-16,23,6.6,6.3,6.4,17,"3,175","49,917",> 100%
National,,All,2015-16,24,6.5,6.2,5.9,18,"2,920","49,910",> 100%
National,,All,2015-16,25,6.4,6.1,5.8,12,"2,875","49,623",> 100%
National,,All,2015-16,26,6.3,6,5.9,10,"2,914","49,747",> 100%
National,,All,2015-16,27,6.3,5.9,5.9,10,"2,914","49,700",> 100%
National,,All,2015-16,28,6.2,5.9,5.9,6,"2,926","49,637",> 100%
National,,All,2015-16,29,6.1,5.8,5.6,5,"2,767","49,278",> 100%
National,,All,2015-16,30,6.1,5.8,5.7,5,"2,804","49,699",> 100%
National,,All,2015-16,31,6,5.7,5.8,2,"2,847","49,506",> 100%
National,,All,2015-16,32,6,5.7,5.7,2,"2,827","49,742",> 100%
National,,All,2015-16,33,6,5.7,5.8,5,"2,866","49,811",> 100%
National,,All,2015-16,34,6,5.7,5.7,6,"2,827","49,513",> 100%
National,,All,2015-16,35,6,5.7,5.8,5,"2,869","49,582",> 100%
National,,All,2015-16,36,6,5.7,5.8,5,"2,881","50,083",> 100%
National,,All,2015-16,37,6.1,5.8,6.2,8,"3,093","49,924",> 100%
National,,All,2015-16,38,6.1,5.8,6.1,9,"3,017","49,886",> 100%
National,,All,2015-16,39,6.2,5.9,6,11,"2,985","50,259",> 100%
National,,All,2014-15,40,6.6,6.3,6.4,6,"3,075","48,366",> 100%
National,,All,2014-15,41,6.7,6.4,6.4,8,"3,142","49,360",> 100%
National,,All,2014-15,42,6.8,6.4,6.3,13,"3,085","49,238",> 100%
National,,All,2014-15,43,6.9,6.5,6.5,11,"3,202","49,071",> 100%
National,,All,2014-15,44,7,6.6,6.5,17,"3,154","49,007",> 100%
National,,All,2014-15,45,7.1,6.7,6.3,11,"3,208","51,049",> 100%
National,,All,2014-15,46,7.2,6.8,6.4,18,"3,240","50,550",> 100%
National,,All,2014-15,47,7.3,7,6.5,31,"3,380","52,533",> 100%
National,,All,2014-15,48,7.4,7.1,6.7,46,"3,419","51,866",> 100%
National,,All,2014-15,49,7.5,7.2,7,83,"3,620","52,748",> 100%
National,,All,2014-15,50,7.6,7.3,7.4,169,"3,785","53,554",> 100%
National,,All,2014-15,51,7.7,7.4,8.1,312,"4,098","54,622",> 100%
National,,All,2014-15,52,7.8,7.4,8.5,512,"4,264","56,028",> 100%
National,,All,2014-15,53,7.9,7.5,10.2,"1,010","4,988","58,896",> 100%
National,,All,2014-15,1,7.9,7.6,10.8,"1,088","5,515","61,212",> 100%
National,,All,2014-15,2,8,7.7,10.7,982,"5,572","61,009",> 100%
National,,All,2014-15,3,8.1,7.7,10,711,"5,169","58,539",> 100%
National,,All,2014-15,4,8.1,7.8,9.5,583,"4,841","57,169",> 100%
National,,All,2014-15,5,8.1,7.8,9.1,484,"4,733","57,295",> 100%
National,,All,2014-15,6,8.1,7.8,8.8,405,"4,579","56,591",> 100%
National,,All,2014-15,7,8.1,7.8,8.4,285,"4,496","56,590",> 100%
National,,All,2014-15,8,8.1,7.8,8.5,221,"4,546","56,239",> 100%
National,,All,2014-15,9,8.1,7.8,8.4,190,"4,542","56,435",> 100%
National,,All,2014-15,10,8.1,7.7,8.3,159,"4,441","55,671",> 100%
National,,All,2014-15,11,8,7.7,8,139,"4,195","54,395",> 100%
National,,All,2014-15,12,7.9,7.6,7.5,121,"3,901","53,345",> 100%
National,,All,2014-15,13,7.9,7.5,7.4,97,"3,840","53,128",> 100%
National,,All,2014-15,14,7.8,7.5,7.5,100,"3,835","52,757",> 100%
National,,All,2014-15,15,7.7,7.4,7.6,75,"3,922","52,769",> 100%
National,,All,2014-15,16,7.6,7.3,7.5,63,"3,804","51,570",> 100%
National,,All,2014-15,17,7.5,7.2,7.2,50,"3,646","51,382",> 100%
National,,All,2014-15,18,7.4,7.1,6.9,28,"3,544","51,601",> 100%
National,,All,2014-15,19,7.3,6.9,6.9,22,"3,467","50,616",> 100%
National,,All,2014-15,20,7.2,6.8,6.6,14,"3,230","49,231",> 100%
National,,All,2014-15,21,7.1,6.7,6.8,18,"3,365","49,766",> 100%
National,,All,2014-15,22,6.9,6.6,6.5,10,"3,195","49,205",> 100%
National,,All,2014-15,23,6.8,6.5,6.5,11,"3,208","49,703",> 100%
National,,All,2014-15,24,6.7,6.4,6.4,6,"3,142","48,982",> 100%
National,,All,2014-15,25,6.6,6.3,6.5,4,"3,189","48,952",> 100%
National,,All,2014-15,26,6.5,6.2,6.3,6,"3,103","49,090",> 100%
National,,All,2014-15,27,6.5,6.1,6.3,7,"3,066","48,811",> 100%
National,,All,2014-15,28,6.4,6.1,6.2,7,"3,027","49,175",> 100%
National,,All,2014-15,29,6.3,6,6.2,3,"3,005","48,548",> 100%
National,,All,2014-15,30,6.3,6,6,4,"2,909","48,554",> 100%
National,,All,2014-15,31,6.3,5.9,6.1,4,"2,947","48,211",> 100%
National,,All,2014-15,32,6.2,5.9,5.9,8,"2,829","48,050",> 100%
National,,All,2014-15,33,6.2,5.9,6.1,6,"2,930","48,346",> 100%
National,,All,2014-15,34,6.2,5.9,6,5,"2,894","48,394",> 100%
National,,All,2014-15,35,6.2,5.9,6,3,"2,935","48,630",> 100%
National,,All,2014-15,36,6.3,5.9,6.1,3,"2,945","48,682",> 100%
National,,All,2014-15,37,6.3,6,6.2,6,"3,009","48,818",> 100%
National,,All,2014-15,38,6.4,6,6.2,8,"3,048","49,198",> 100%
National,,All,2014-15,39,6.4,6.1,6.3,6,"3,052","48,774",> 100%
National,,All,2013-14,40,6.8,6.5,6.6,3,"3,140","47,492",99.80%
National,,All,2013-14,41,6.9,6.6,6.7,12,"3,135","47,304",99.40%
National,,All,2013-14,42,7,6.7,6.8,11,"3,216","47,602",> 100%
National,,All,2013-14,43,7.1,6.7,6.6,11,"3,151","47,746",> 100%
National,,All,2013-14,44,7.2,6.9,6.7,12,"3,271","48,777",> 100%
National,,All,2013-14,45,7.3,7,7,17,"3,429","48,939",> 100%
National,,All,2013-14,46,7.4,7.1,6.7,15,"3,320","49,409",> 100%
National,,All,2013-14,47,7.5,7.2,7,28,"3,430","49,591",> 100%
National,,All,2013-14,48,7.6,7.3,6.9,33,"3,385","49,287",> 100%
National,,All,2013-14,49,7.7,7.4,7.2,42,"3,594","50,812",> 100%
National,,All,2013-14,50,7.8,7.5,7.6,68,"3,856","51,848",> 100%
National,,All,2013-14,51,7.9,7.6,7.7,107,"3,917","52,548",> 100%
National,,All,2013-14,52,8,7.7,8,207,"3,942","51,954",> 100%
National,,All,2013-14,1,8.1,7.8,9.1,351,"4,511","53,531",> 100%
National,,All,2013-14,2,8.2,7.8,9.8,461,"4,999","55,821",> 100%
National,,All,2013-14,3,8.3,7.9,10,474,"5,005","54,588",> 100%
National,,All,2013-14,4,8.3,8,9.7,442,"4,783","54,097",> 100%
National,,All,2013-14,5,8.3,8,9.3,385,"4,623","53,967",> 100%
National,,All,2013-14,6,8.4,8,9,315,"4,476","53,408",> 100%
National,,All,2013-14,7,8.4,8,8.6,271,"4,385","53,834",> 100%
National,,All,2013-14,8,8.4,8,8,209,"3,990","52,673",> 100%
National,,All,2013-14,9,8.4,8,7.8,161,"3,868","51,695",> 100%
National,,All,2013-14,10,8.3,8,8,125,"4,048","52,065",> 100%
National,,All,2013-14,11,8.3,7.9,7.8,93,"3,942","51,787",> 100%
National,,All,2013-14,12,8.2,7.9,7.6,74,"3,834","51,399",> 100%
National,,All,2013-14,13,8.2,7.8,7.6,65,"3,797","50,888",> 100%
National,,All,2013-14,14,8.1,7.7,7.6,55,"3,824","50,888",> 100%
National,,All,2013-14,15,8,7.7,7.5,74,"3,730","50,731",> 100%
National,,All,2013-14,16,7.9,7.6,7.3,55,"3,595","49,929",> 100%
National,,All,2013-14,17,7.8,7.5,7.1,54,"3,498","49,915",> 100%
National,,All,2013-14,18,7.7,7.4,7.1,53,"3,490","49,677",> 100%
National,,All,2013-14,19,7.6,7.2,7.1,39,"3,512","50,330",> 100%
National,,All,2013-14,20,7.5,7.1,6.8,27,"3,222","47,939",> 100%
National,,All,2013-14,21,7.4,7,6.7,24,"3,242","48,608",> 100%
National,,All,2013-14,22,7.2,6.9,6.5,15,"3,140","48,176",> 100%
National,,All,2013-14,23,7.1,6.8,6.8,20,"3,220","47,792",> 100%
National,,All,2013-14,24,7,6.7,6.8,15,"3,222","47,839",> 100%
National,,All,2013-14,25,6.9,6.6,6.5,7,"3,077","47,618",> 100%
National,,All,2013-14,26,6.8,6.5,6.3,3,"2,998","47,461",99.80%
National,,All,2013-14,27,6.7,6.4,6.3,6,"3,000","47,435",99.70%
National,,All,2013-14,28,6.6,6.3,6.3,4,"2,988","47,473",99.80%
National,,All,2013-14,29,6.6,6.2,6.2,7,"2,944","47,244",99.30%
National,,All,2013-14,30,6.5,6.2,6.3,3,"2,985","47,159",99.10%
National,,All,2013-14,31,6.5,6.1,6.2,5,"2,923","46,994",98.80%
National,,All,2013-14,32,6.4,6.1,6,1,"2,842","47,078",98.90%
National,,All,2013-14,33,6.4,6.1,6.1,5,"2,869","46,752",98.30%
National,,All,2013-14,34,6.4,6.1,6.2,6,"2,877","46,778",98.30%
National,,All,2013-14,35,6.4,6.1,6.1,5,"2,825","46,663",98.10%
National,,All,2013-14,36,6.4,6.1,6.2,1,"2,966","47,473",99.80%
National,,All,2013-14,37,6.5,6.1,6.1,4,"2,881","46,971",98.70%
National,,All,2013-14,38,6.5,6.2,6.2,6,"2,990","48,082",> 100%
National,,All,2013-14,39,6.6,6.2,6.2,6,"3,017","48,421",> 100%
National,,All,2012-13,40,7,6.7,6.7,5,"3,210","47,900",> 100%
National,,All,2012-13,41,7.1,6.8,6.9,6,"3,315","48,026",> 100%
National,,All,2012-13,42,7.2,6.9,7,7,"3,382","48,748",> 100%
National,,All,2012-13,43,7.3,7,7.1,6,"3,376","47,723",> 100%
National,,All,2012-13,44,7.4,7.1,6.8,3,"3,348","48,945",> 100%
National,,All,2012-13,45,7.5,7.2,6.9,9,"3,433","49,987",> 100%
National,,All,2012-13,46,7.6,7.3,7.1,20,"3,495","49,729",> 100%
National,,All,2012-13,47,7.8,7.4,7,19,"3,430","49,398",> 100%
National,,All,2012-13,48,7.9,7.5,7.6,31,"3,807","50,626",> 100%
National,,All,2012-13,49,8,7.6,7.7,64,"3,940","51,798",> 100%
National,,All,2012-13,50,8.1,7.7,7.9,96,"3,958","51,357",> 100%
National,,All,2012-13,51,8.2,7.8,8.3,144,"4,207","52,710",> 100%
National,,All,2012-13,52,8.3,7.9,9,232,"4,705","54,932",> 100%
National,,All,2012-13,1,8.4,8,10.2,407,"5,567","58,742",> 100%
National,,All,2012-13,2,8.4,8.1,11,649,"6,033","60,523",> 100%
National,,All,2012-13,3,8.5,8.1,11.1,633,"5,927","59,102",> 100%
National,,All,2012-13,4,8.5,8.2,10.6,502,"5,633","57,761",> 100%
National,,All,2012-13,5,8.6,8.2,10.1,392,"5,282","56,298",> 100%
National,,All,2012-13,6,8.6,8.2,9.5,267,"5,017","55,655",> 100%
National,,All,2012-13,7,8.6,8.3,9.4,209,"4,879","54,390",> 100%
National,,All,2012-13,8,8.6,8.3,8.9,167,"4,575","53,449",> 100%
National,,All,2012-13,9,8.6,8.2,8.7,148,"4,479","53,022",> 100%
National,,All,2012-13,10,8.6,8.2,8.5,103,"4,414","53,304",> 100%
National,,All,2012-13,11,8.5,8.2,8.5,109,"4,399","52,969",> 100%
National,,All,2012-13,12,8.5,8.1,8.2,83,"4,185","52,056",> 100%
National,,All,2012-13,13,8.4,8,8.2,56,"4,178","51,787",> 100%
National,,All,2012-13,14,8.3,8,8,50,"4,049","51,322",> 100%
National,,All,2012-13,15,8.2,7.9,7.8,35,"3,934","50,826",> 100%
National,,All,2012-13,16,8.1,7.8,7.8,22,"3,823","49,491",> 100%
National,,All,2012-13,17,8,7.7,7.5,27,"3,583","48,329",> 100%
National,,All,2012-13,18,7.9,7.5,7.3,10,"3,504","48,357",> 100%
National,,All,2012-13,19,7.8,7.4,7.1,11,"3,392","47,902",> 100%
National,,All,2012-13,20,7.7,7.3,7,4,"3,313","47,329",99.50%
National,,All,2012-13,21,7.6,7.2,6.9,12,"3,248","47,291",99.40%
National,,All,2012-13,22,7.4,7.1,6.5,3,"3,038","46,587",97.90%
National,,All,2012-13,23,7.3,7,7.1,8,"3,341","46,977",98.70%
National,,All,2012-13,24,7.2,6.8,7,6,"3,271","46,525",97.80%
National,,All,2012-13,25,7.1,6.7,6.7,4,"3,123","46,449",97.60%
National,,All,2012-13,26,7,6.6,6.6,2,"3,055","46,380",97.50%
National,,All,2012-13,27,6.9,6.6,6.4,5,"2,977","46,639",98%
National,,All,2012-13,28,6.8,6.5,6.6,2,"3,034","45,762",96.20%
National,,All,2012-13,29,6.8,6.4,6.6,7,"3,041","46,128",96.90%
National,,All,2012-13,30,6.7,6.3,6.2,5,"2,866","46,172",97%
National,,All,2012-13,31,6.7,6.3,6.4,7,"2,929","46,141",97%
National,,All,2012-13,32,6.6,6.3,6.5,3,"2,976","46,008",96.70%
National,,All,2012-13,33,6.6,6.2,6.5,3,"2,996","45,828",96.30%
National,,All,2012-13,34,6.6,6.2,6.5,4,"2,970","46,003",96.70%
National,,All,2012-13,35,6.6,6.2,6.3,6,"2,891","46,269",97.20%
National,,All,2012-13,36,6.6,6.3,6.3,1,"2,858","45,581",95.80%
National,,All,2012-13,37,6.7,6.3,6.5,7,"2,983","46,188",97.10%
National,,All,2012-13,38,6.7,6.4,6.5,4,"3,027","46,555",97.80%
National,,All,2012-13,39,6.8,6.4,6.5,11,"3,043","46,654",98.10%
National,,All,2011-12,40,7.2,6.9,7,4,"3,257","46,782",98.30%
National,,All,2011-12,41,7.3,7,7.3,5,"3,402","46,796",98.40%
National,,All,2011-12,42,7.4,7.1,7.1,5,"3,317","46,921",98.60%
National,,All,2011-12,43,7.5,7.2,7.2,4,"3,381","47,095",99%
National,,All,2011-12,44,7.6,7.3,7.3,8,"3,494","48,153",> 100%
National,,All,2011-12,45,7.7,7.4,7.5,6,"3,662","48,639",> 100%
National,,All,2011-12,46,7.8,7.5,7.6,2,"3,636","48,089",> 100%
National,,All,2011-12,47,7.9,7.6,7.5,8,"3,546","47,240",99.30%
National,,All,2011-12,48,8,7.7,7.7,8,"3,642","47,599",> 100%
National,,All,2011-12,49,8.1,7.8,7.7,1,"3,741","48,733",> 100%
National,,All,2011-12,50,8.2,7.9,7.9,8,"3,849","49,102",> 100%
National,,All,2011-12,51,8.3,8,7.8,8,"3,828","49,373",> 100%
National,,All,2011-12,52,8.4,8.1,8,10,"3,970","49,954",> 100%
National,,All,2011-12,1,8.5,8.2,8.5,10,"4,322","51,095",> 100%
National,,All,2011-12,2,8.6,8.2,8.3,7,"4,245","50,962",> 100%
National,,All,2011-12,3,8.6,8.3,8.4,9,"4,261","51,010",> 100%
National,,All,2011-12,4,8.7,8.3,8.4,11,"4,227","50,163",> 100%
National,,All,2011-12,5,8.7,8.3,8.1,9,"4,026","49,568",> 100%
National,,All,2011-12,6,8.7,8.4,8.1,19,"4,024","49,854",> 100%
National,,All,2011-12,7,8.7,8.4,8.2,15,"4,129","50,662",> 100%
National,,All,2011-12,8,8.7,8.4,8.3,29,"4,191","50,891",> 100%
National,,All,2011-12,9,8.7,8.3,8.4,43,"4,234","50,878",> 100%
National,,All,2011-12,10,8.6,8.3,8.7,59,"4,346","50,739",> 100%
National,,All,2011-12,11,8.6,8.2,8.6,62,"4,288","50,743",> 100%
National,,All,2011-12,12,8.5,8.2,8.4,57,"4,060","49,305",> 100%
National,,All,2011-12,13,8.4,8.1,8,55,"3,796","48,287",> 100%
National,,All,2011-12,14,8.4,8,8,48,"3,828","48,390",> 100%
National,,All,2011-12,15,8.3,7.9,7.7,23,"3,758","49,063",> 100%
National,,All,2011-12,16,8.2,7.8,7.6,37,"3,690","48,896",> 100%
National,,All,2011-12,17,8.1,7.7,7.5,37,"3,573","48,100",> 100%
National,,All,2011-12,18,8,7.6,7.4,27,"3,527","47,784",> 100%
National,,All,2011-12,19,7.8,7.5,7.2,15,"3,330","46,722",98.20%
National,,All,2011-12,20,7.7,7.4,7.1,16,"3,329","46,996",98.80%
National,,All,2011-12,21,7.6,7.3,7.1,13,"3,289","46,754",98.30%
National,,All,2011-12,22,7.5,7.2,6.8,8,"3,138","46,022",96.70%
National,,All,2011-12,23,7.4,7.1,6.6,9,"3,068","46,347",97.40%
National,,All,2011-12,24,7.3,7,6.7,4,"3,153","46,785",98.30%
National,,All,2011-12,25,7.2,6.9,6.8,2,"3,147","46,127",96.90%
National,,All,2011-12,26,7.1,6.8,6.9,3,"3,159","46,076",96.80%
National,,All,2011-12,27,7,6.7,6.4,6,"3,004","46,688",98.10%
National,,All,2011-12,28,7,6.6,6.6,2,"3,033","45,929",96.50%
National,,All,2011-12,29,6.9,6.6,6.6,1,"3,011","45,934",96.50%
National,,All,2011-12,30,6.9,6.5,6.3,1,"2,889","45,653",96%
National,,All,2011-12,31,6.8,6.5,6.6,1,"3,039","45,920",96.50%
National,,All,2011-12,32,6.8,6.5,6.6,5,"3,040","46,343",97.40%
National,,All,2011-12,33,6.8,6.5,6.6,4,"3,018","45,904",96.50%
National,,All,2011-12,34,6.8,6.5,6.4,4,"2,964","46,193",97.10%
National,,All,2011-12,35,6.8,6.5,6.5,5,"3,016","46,320",97.40%
National,,All,2011-12,36,6.8,6.5,6.7,2,"3,109","46,658",98.10%
National,,All,2011-12,37,6.9,6.5,6.8,0,"3,160","46,299",97.30%
National,,All,2011-12,38,6.9,6.6,6.7,1,"3,120","46,413",97.50%
National,,All,2011-12,39,7,6.7,6.8,2,"3,217","47,442",99.70%
National,,All,2010-11,40,7.5,7.2,7,5,"3,258","46,550",97.80%
National,,All,2010-11,41,7.6,7.3,7.4,7,"3,456","46,530",97.80%
National,,All,2010-11,42,7.7,7.4,7.3,3,"3,423","47,054",98.90%
National,,All,2010-11,43,7.8,7.5,7.5,5,"3,497","46,538",97.80%
National,,All,2010-11,44,7.9,7.6,7.4,5,"3,501","47,381",99.60%
National,,All,2010-11,45,8,7.7,7.5,3,"3,605","48,357",> 100%
National,,All,2010-11,46,8.1,7.8,7.4,9,"3,540","48,101",> 100%
National,,All,2010-11,47,8.3,7.9,7.6,13,"3,606","47,719",> 100%
National,,All,2010-11,48,8.4,8,7.9,9,"3,854","48,853",> 100%
National,,All,2010-11,49,8.5,8.1,7.6,13,"3,826","50,255",> 100%
National,,All,2010-11,50,8.6,8.2,7.9,12,"4,024","51,166",> 100%
National,,All,2010-11,51,8.7,8.3,8.1,18,"4,093","50,853",> 100%
National,,All,2010-11,52,8.8,8.4,8.7,30,"4,565","52,626",> 100%
National,,All,2010-11,1,8.8,8.5,9.1,53,"4,764","53,090",> 100%
National,,All,2010-11,2,8.9,8.6,9.1,65,"4,696","52,588",> 100%
National,,All,2010-11,3,9,8.6,9.1,67,"4,698","52,431",> 100%
National,,All,2010-11,4,9,8.7,9.3,88,"4,800","52,297",> 100%
National,,All,2010-11,5,9,8.7,9.2,106,"4,692","52,106",> 100%
National,,All,2010-11,6,9,8.7,9.3,150,"4,744","52,826",> 100%
