State,Year,Month,ActivityLevel,Temp,Precipitation,PMDI
Oregon,2009,6,1,54.3,1.93,-3.83
Washington,2009,6,1,52.4,4.18,-3.41
Montana,2009,6,1,48,1.4,-2.2
Idaho,2009,6,2,50.7,1.69,-2.59
North Dakota,2009,6,4,47.8,1.32,0.45
Nevada,2009,6,1,56.2,1.83,-3.16
Arizona,2009,6,1,64.5,1.88,0.84
Utah,2009,6,10,54.3,1.8,-1.17
South Dakota,2009,6,1,51.6,1.44,3.74
Wyoming,2009,6,1,48.7,1.11,-1.03
Minnesota,2009,6,1,47.9,2.15,0.44
Colorado,2009,6,1,62.6,0.76,0.87
New Mexico,2009,6,1,57.5,2.89,1.78
Texas,2009,6,1,69.2,6.17,3.64
Oklahoma,2009,6,1,63.4,3.26,2.37
Kansas,2009,6,1,59.3,1.79,-0.06
Nebraska,2009,6,1,54.3,1.43,3.18
Iowa,2009,6,1,68.4,4.18,3.81
Missouri,2009,6,1,57.7,1.56,1.11
Arkansas,2009,6,0,63.5,3.75,-0.17
Louisiana,2009,6,1,69.7,7.52,0.36
Mississippi,2009,6,1,66.5,5.26,0.47
Tennessee,2009,6,1,59.7,3.96,2.25
Kentucky,2009,6,1,57.8,3.96,3.37
Illinois,2009,6,3,56.1,1.44,1.87
Wisconsin,2009,6,1,48.5,2.7,0.75
Michigan,2009,6,1,48.9,2.46,-1.04
Indiana,2009,6,1,55.6,2.42,1.83
Ohio,2009,6,1,54.4,2.76,1.5
Pennsylvania,2009,6,1,50.7,3.78,0.76
New York,2009,6,1,47.4,3.7,1.33
Maine,2009,6,1,43.2,4.73,1.63
New Hampshire,2009,6,1,45.2,4.05,1.39
Vermont,2009,6,1,44.3,3.48,0.25
Massachusetts,2009,6,5,50.1,3.86,-0.68
Connecticut,2009,6,1,51.4,3.31,-2.74
Rhode Island,2009,6,1,52.4,4.02,-1.18
New Jersey,2009,6,1,54.5,4.02,-0.79
Delaware,2009,6,1,32.1,4.96,0.8
Maryland,2009,6,1,55.6,3.71,0.13
West Virginia,2009,6,1,54,2.76,0.48
Virginia,2009,6,3,56.3,4.58,1.77
North Carolina,2009,6,1,60,7.07,1.29
South Carolina,2009,6,1,63.3,12.17,2.77
Georgia,2009,6,1,64.9,3.23,-0.63
Alabama,2009,6,1,65.1,2.93,-1.25
Florida,2009,6,1,74.4,1.84,-2.11
California,2009,7,1,47.6,1.87,-4.29
Oregon,2009,7,1,35.8,3.85,-3.79
Washington,2009,7,1,36,7.02,-2.32
Montana,2009,7,1,30,1.34,-1.97
Idaho,2009,7,1,29.9,2.51,-2.56
North Dakota,2009,7,1,32.5,0.49,0.02
Nevada,2009,7,1,35.9,1.29,-1.74
Arizona,2009,7,1,48.3,0.76,0.73
Utah,2009,7,9,34.5,1.07,-0.86
South Dakota,2009,7,1,36.5,1.02,3.66
Wyoming,2009,7,1,29.2,1.09,-0.81
Minnesota,2009,7,1,36.5,2.68,1.63
Colorado,2009,7,1,51.4,1.82,1.03
New Mexico,2009,7,1,43.4,0.85,2.11
Texas,2009,7,1,57.3,3.87,4.64
Oklahoma,2009,7,1,51.4,6.05,4.12
Kansas,2009,7,1,46.5,3.1,1.44
Nebraska,2009,7,1,40.1,1.95,3.63
Iowa,2009,7,1,53,1.76,3.34
Missouri,2009,7,1,48.9,7.9,3.55
Arkansas,2009,7,0,54.2,10.72,2.35
Louisiana,2009,7,1,62.7,9.09,1.99
Mississippi,2009,7,1,59.2,7.45,1.13
Tennessee,2009,7,1,53.5,6.38,2.69
Kentucky,2009,7,1,50.9,4.38,3.4
Illinois,2009,7,1,46.6,5.52,3.13
Wisconsin,2009,7,1,39.4,3.42,1.93
Michigan,2009,7,1,41.3,3.06,-1.24
Indiana,2009,7,1,46.6,3.57,1.62
Ohio,2009,7,1,47.3,2.24,0.48
Pennsylvania,2009,7,1,45.5,2.06,-0.75
New York,2009,7,1,42.8,2.05,-0.82
Maine,2009,7,2,37,2.43,-0.74
New Hampshire,2009,7,1,39.7,2.36,-0.84
Vermont,2009,7,1,39.2,1.81,-1.41
Massachusetts,2009,7,2,44.7,2.48,-1.8
Connecticut,2009,7,1,46.1,2.23,-3.43
Rhode Island,2009,7,1,47.1,2.59,-1.95
New Jersey,2009,7,7,49.6,2.3,-1.6
Delaware,2009,7,1,26.2,2.32,0.48
Maryland,2009,7,1,50.5,2.62,-0.73
West Virginia,2009,7,1,48.3,2.28,-0.74
Virginia,2009,7,4,51.1,3.92,1.98
North Carolina,2009,7,1,54.4,7.2,2.66
South Carolina,2009,7,1,58,7.24,4.16
Georgia,2009,7,4,59.8,6.28,1.03
Alabama,2009,7,1,59.2,6.8,0.68
Florida,2009,7,1,72.2,3.8,-1.74
California,2009,8,1,42.3,4.69,-3.18
Oregon,2009,8,1,32.4,10.13,0.17
Washington,2009,8,1,32.1,11.42,1.57
Montana,2009,8,1,23.6,1.61,-1.52
Idaho,2009,8,1,24.3,4.56,-1.03
North Dakota,2009,8,1,21.1,0.57,0.09
Nevada,2009,8,1,30.8,1.34,-0.65
Arizona,2009,8,1,40.9,0.6,-0.45
Utah,2009,8,1,26.6,1.38,-0.43
South Dakota,2009,8,1,24.3,1.12,4.07
Wyoming,2009,8,1,21.4,1.11,-0.52
Minnesota,2009,8,1,24.9,1.91,2.57
Colorado,2009,8,1,34.6,1.69,1.77
Colorado,2009,8,1,25.8,1.47,2.25
New Mexico,2009,8,1,35.9,1.05,2.2
Texas,2009,8,1,51.5,2.52,4.85
Oklahoma,2009,8,1,44.6,5.56,5.65
Kansas,2009,8,1,37.6,2.36,2.45
Nebraska,2009,8,1,29.7,1.6,4.35
Iowa,2009,8,1,42,4.08,4.32
Iowa,2009,8,1,33,4.71,6.06
Missouri,2009,8,1,42.4,7.67,5.31
Arkansas,2009,8,1,50,8.44,3.19
Louisiana,2009,8,1,59.1,5.69,1.48
Mississippi,2009,8,1,56.7,7.23,1.26
Tennessee,2009,8,1,51.3,7.9,3.11
Kentucky,2009,8,1,48.7,6.52,3.8
Illinois,2009,8,1,41.1,6.68,4.56
Wisconsin,2009,8,1,31.8,4.28,3.8
Michigan,2009,8,1,35.6,3.73,0.87
Indiana,2009,8,1,42.5,5.44,3.05
Ohio,2009,8,1,43.7,4.3,1.27
Pennsylvania,2009,8,1,42.3,4.1,-0.45
New York,2009,8,1,39.3,4.06,-0.56
Maine,2009,8,1,31.2,5.31,0.94
New Hampshire,2009,8,1,35.2,5.43,0.6
Vermont,2009,8,1,35.1,5.07,0.62
Massachusetts,2009,8,1,41.8,4.82,-1.23
Connecticut,2009,8,1,43.5,4.14,-3.45
Rhode Island,2009,8,1,45.3,5.22,-1.58
New Jersey,2009,8,1,48,4.84,-1.22
Delaware,2009,8,1,40,4.54,0.74
Delaware,2009,8,1,54.3,3.13,0.44
Maryland,2009,8,1,48.7,4.57,-0.47
West Virginia,2009,8,1,46.3,4.72,-0.36
Virginia,2009,8,1,49.6,5.22,2.38
North Carolina,2009,8,1,54.7,7.31,3.51
South Carolina,2009,8,1,58.5,6.7,4.65
Georgia,2009,8,2,58.9,8.49,2.15
Alabama,2009,8,1,56.9,11.87,2.33
Florida,2009,8,1,69.6,3.49,-1.94
California,2009,9,3,53.5,3.28,-5.58
Oregon,2009,9,1,41.8,5.52,0.99
Washington,2009,9,9,40.1,7.78,1.87
Montana,2009,9,1,29.4,2.26,2.37
Idaho,2009,9,1,36.2,3.92,-0.3
North Dakota,2009,9,2,22.7,0.43,4.48
Nevada,2009,9,3,43.5,1.03,-4.22
Arizona,2009,9,3,53.9,0.9,-3.4
Utah,2009,9,1,41,0.99,-3.01
South Dakota,2009,9,1,29.4,0.76,4.29
Wyoming,2009,9,1,32.3,1.76,3.2
Minnesota,2009,9,1,19.7,0.87,0.64
Colorado,2009,9,2,27.6,1.18,0.3
New Mexico,2009,9,5,46,0.47,-3.55
Texas,2009,9,2,54.8,1.11,-3.1
Oklahoma,2009,9,6,46.3,1.74,-1.01
Kansas,2009,9,4,40.6,0.48,-1.16
Nebraska,2009,9,1,35.4,0.5,-1.6
Iowa,2009,9,1,29.7,0.81,-2.87
Missouri,2009,9,10,39.5,1.7,-1.04
Arkansas,2009,9,4,46.5,4.66,-0.62
Louisiana,2009,9,10,55,4.47,-0.17
Mississippi,2009,9,10,51.6,5.6,-0.11
Tennessee,2009,9,10,45,3.93,0.55
Kentucky,2009,9,10,41.5,3.44,1.5
Illinois,2009,9,2,34.4,1.46,-1.18
Wisconsin,2009,9,7,21.5,1.1,-0.19
Michigan,2009,9,1,21,1.39,1.04
Indiana,2009,9,4,34.1,1.85,-0.49
Ohio,2009,9,1,33.6,2,1.25
Pennsylvania,2009,9,1,30.3,2.6,0.35
New York,2009,9,9,23.7,3.05,1.78
Maine,2009,9,1,18.1,3.8,1.43
New Hampshire,2009,9,1,21.6,4.11,1.19
Vermont,2009,9,1,18.6,3.38,1.9
Massachusetts,2009,9,1,29.1,4.51,0.72
Connecticut,2009,9,1,30.6,4.22,-0.53
Rhode Island,2009,9,1,32.7,5.91,1.02
New Jersey,2009,9,1,35.4,3.97,1.21
Delaware,2009,9,1,45.1,2.48,1.41
Maryland,2009,9,1,38.2,3.75,1.92
West Virginia,2009,9,1,37.1,3.04,1.18
Virginia,2009,9,3,40.7,3.29,1.84
North Carolina,2009,9,10,45.5,4.61,1.33
South Carolina,2009,9,6,50.1,4.34,1.15
Georgia,2009,9,10,52.9,4.41,1.47
Alabama,2009,9,10,52.3,5.57,0.67
Florida,2009,9,8,63.5,5.2,0.81
California,2009,10,10,57.7,1.06,-5.53
Oregon,2009,10,7,45.8,2.52,1
Washington,2009,10,7,45.8,3.78,2.08
Montana,2009,10,7,41.1,1.47,2.18
Idaho,2009,10,10,41.6,2.15,0.06
North Dakota,2009,10,5,38.2,2.1,5.05
Nevada,2009,10,9,49,0.66,-4.31
Arizona,2009,10,8,59.1,0.24,-3.96
Utah,2009,10,8,46.7,0.94,-3.09
South Dakota,2009,10,4,43.5,1.97,4.48
Wyoming,2009,10,5,39.7,1.38,2.8
Minnesota,2009,10,1,38.4,3.7,1.79
Colorado,2009,10,10,36.3,1.15,-0.23
New Mexico,2009,10,10,52.3,0.37,-3.96
Texas,2009,10,10,65.4,0.98,-3.49
Oklahoma,2009,10,10,59.4,1.69,-1.41
Kansas,2009,10,10,54,1.59,-1.79
Nebraska,2009,10,6,48.3,1.99,-1.84
Iowa,2009,10,1,47.5,4.65,-0.66
Missouri,2009,10,10,55.1,5.09,0.5
Arkansas,2009,10,8,59.6,5.54,0.3
Louisiana,2009,10,10,65.5,4.49,-0.04
Mississippi,2009,10,10,62.7,8.86,1.66
Tennessee,2009,10,9,58.6,5.81,1.39
Kentucky,2009,10,10,57.5,6.43,2.78
Illinois,2009,10,7,52.4,5.15,0.56
Wisconsin,2009,10,2,39.7,5.04,2.31
Michigan,2009,10,1,41.2,3.82,2.32
Indiana,2009,10,6,52.4,5.73,1.22
Ohio,2009,10,1,51.4,5.28,2.43
Pennsylvania,2009,10,6,47.7,3.85,0.44
New York,2009,10,5,43.5,3.57,1.71
Maine,2009,10,1,38.7,3.44,1.24
New Hampshire,2009,10,1,41.6,3.03,0.29
Vermont,2009,10,1,40.5,3.25,1.44
Massachusetts,2009,10,1,45.9,3.87,0.58
Connecticut,2009,10,3,46.7,4.38,-0.17
Rhode Island,2009,10,2,47.1,4.58,1.07
New Jersey,2009,10,1,50.3,4.42,1.29
Delaware,2009,10,8,40.4,4.96,2.4
Maryland,2009,10,6,52.7,4.93,2.32
West Virginia,2009,10,5,53.1,3.06,0.05
Virginia,2009,10,10,55,4.73,2.41
North Carolina,2009,10,10,59.2,4.91,2.04
South Carolina,2009,10,10,63.3,4.24,1.41
Georgia,2009,10,10,63.1,7.35,3.08
Alabama,2009,10,10,62.4,9.67,2.65
Florida,2009,10,8,70.5,5.29,1.99
California,2009,11,10,64.6,0.35,-6.05
Oregon,2009,11,9,53.3,1.8,0.5
Washington,2009,11,8,54.3,2.44,1.8
Montana,2009,11,7,51.1,1.92,1.29
Idaho,2009,11,7,51.6,1.26,-1.08
North Dakota,2009,11,10,53.7,2.38,5.01
Nevada,2009,11,4,57.4,0.79,-4.91
Arizona,2009,11,6,66.8,0.07,-4.48
Utah,2009,11,10,56.5,1.02,-3.31
South Dakota,2009,11,3,55.6,2.42,4.2
Wyoming,2009,11,8,50.1,1.76,1.83
Minnesota,2009,11,4,54.3,3.51,1.89
Colorado,2009,11,8,43.3,1.35,-0.64
New Mexico,2009,11,10,60.1,1.06,-3.89
Texas,2009,11,10,72.1,4.1,-2.95
Oklahoma,2009,11,10,69,3.14,-1.84
Kansas,2009,11,10,64.7,1.98,-2.73
Nebraska,2009,11,10,58.5,2.63,-2.3
Iowa,2009,11,10,60,3.04,-1.21
Missouri,2009,11,10,65.3,3.19,-0.55
Arkansas,2009,11,10,68.1,6.05,0.52
Louisiana,2009,11,10,71.9,7.46,0.93
Mississippi,2009,11,2,70.8,5.16,1.67
Tennessee,2009,11,6,67.3,2.91,0.03
Kentucky,2009,11,5,66.1,3.65,1.74
Illinois,2009,11,10,63.7,3.29,-0.36
Wisconsin,2009,11,10,55.3,3.8,2.34
Michigan,2009,11,10,54.6,3.53,2.3
Indiana,2009,11,10,62.9,4.23,0.88
Ohio,2009,11,10,61.7,3.98,2.03
Pennsylvania,2009,11,10,59,5.29,1.21
New York,2009,11,10,56.7,4.64,1.86
Maine,2009,11,6,51.7,3.99,1.34
New Hampshire,2009,11,10,54,4.56,0.64
Vermont,2009,11,10,53.6,4.68,1.75
Massachusetts,2009,11,10,57.2,3.75,0.45
Connecticut,2009,11,10,58.3,4.79,0.36
Rhode Island,2009,11,10,58,3.26,0.29
New Jersey,2009,11,10,62,4.72,1.32
Delaware,2009,11,10,30,3.08,1.9
Maryland,2009,11,10,64.2,5.18,2.43
West Virginia,2009,11,10,61.7,4.24,-0.18
Virginia,2009,11,10,65.2,4.35,2.22
North Carolina,2009,11,5,68.5,3.62,1.12
South Carolina,2009,11,8,71.7,3.97,1.28
Georgia,2009,11,10,71.2,3.87,2.73
Alabama,2009,11,10,70.2,4.27,2.44
Florida,2009,11,8,76,4.74,2.08
California,2009,12,6,71.9,0.06,-6.76
Oregon,2009,12,1,58.1,1.14,0.04
Washington,2009,12,1,58.3,1.73,1.34
Montana,2009,12,1,56.5,3.2,1.91
Idaho,2009,12,1,56.7,1.32,-1.63
North Dakota,2009,12,2,62.5,4.75,5.91
Nevada,2009,12,1,66.7,0.12,-5.88
Arizona,2009,12,1,77.7,0.01,-5.06
Utah,2009,12,1,66,0.24,-4.04
South Dakota,2009,12,1,64.2,5.89,5.6
Wyoming,2009,12,1,56.4,1.77,1.72
Minnesota,2009,12,1,65,8.07,3.84
Colorado,2009,12,2,52.5,2.15,-0.36
New Mexico,2009,12,6,72.4,0.55,-4.5
Texas,2009,12,3,80.6,3.01,-3.15
Oklahoma,2009,12,2,77.3,5.71,-0.31
Kansas,2009,12,1,73.6,7.58,-0.13
Nebraska,2009,12,6,68.1,7.23,1.66
Iowa,2009,12,1,70.2,9.66,2.39
Missouri,2009,12,2,73.7,6.1,0.47
Arkansas,2009,12,2,76.7,6.24,1.2
Louisiana,2009,12,8,79.8,6.23,1.33
Mississippi,2009,12,5,78.6,6.96,2.47
Tennessee,2009,12,1,74.8,6.81,1.9
Kentucky,2009,12,1,74.1,3.98,1.23
Illinois,2009,12,5,73,6.77,1.14
Wisconsin,2009,12,1,66.4,6.71,3.2
Michigan,2009,12,2,65.3,3.82,2.23
Indiana,2009,12,2,72.6,5.61,1.51
Ohio,2009,12,1,70.6,5.42,2.53
Pennsylvania,2009,12,1,67.6,5.31,1.58
New York,2009,12,1,65,5.11,2.33
Maine,2009,12,1,61.6,4.58,1.9
New Hampshire,2009,12,1,62.8,3.91,0.41
Vermont,2009,12,1,62.6,4.57,1.79
Massachusetts,2009,12,1,65.9,2.8,-0.48
Connecticut,2009,12,1,66.8,2.41,-0.72
