STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-02-2016,13,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-09-2016,14,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-09-2016,14,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-16-2016,15,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-16-2016,15,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-23-2016,16,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-23-2016,16,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-30-2016,17,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-30-2016,17,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-07-2016,18,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-07-2016,18,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-14-2016,19,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-14-2016,19,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-21-2016,20,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-21-2016,20,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-28-2016,21,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-28-2016,21,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-04-2016,22,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-04-2016,22,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-11-2016,23,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-18-2016,24,2015-16
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 0,Insufficient Data,Jun-18-2016,24,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-04-2016,22,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-11-2016,23,2015-16
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 0,Insufficient Data,Jun-11-2016,23,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-11-2016,23,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-25-2016,25,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-02-2016,26,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-18-2016,24,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-25-2016,25,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-25-2016,25,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-02-2016,26,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-02-2016,26,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-09-2016,27,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-16-2016,28,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-23-2016,29,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-09-2016,27,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-09-2016,27,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-16-2016,28,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-16-2016,28,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-23-2016,29,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-30-2016,30,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-23-2016,29,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-30-2016,30,2015-16
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Jul-30-2016,30,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Aug-06-2016,31,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Aug-13-2016,32,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-30-2016,30,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-06-2016,31,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-06-2016,31,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-13-2016,32,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-13-2016,32,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Aug-20-2016,33,2015-16
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Aug-20-2016,33,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Aug-27-2016,34,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-20-2016,33,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-27-2016,34,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-20-2016,33,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-27-2016,34,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-03-2016,35,2015-16
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,Influenza: What You Need to Know,Level 0,Insufficient Data,Sep-03-2016,35,2015-16
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Sep-03-2016,35,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-03-2016,35,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Sep-03-2016,35,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Sep-10-2016,36,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-10-2016,36,2015-16
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Sep-10-2016,36,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-10-2016,36,2015-16
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-17-2016,37,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Sep-17-2016,37,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-17-2016,37,2015-16
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Sep-17-2016,37,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Sep-24-2016,38,2015-16
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Sep-24-2016,38,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-24-2016,38,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-01-2016,39,2015-16
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Oct-01-2016,39,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-01-2016,39,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-08-2016,40,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-08-2016,40,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-15-2016,41,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-15-2016,41,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-22-2016,42,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-22-2016,42,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-29-2016,43,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-29-2016,43,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-05-2016,44,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-05-2016,44,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-12-2016,45,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-12-2016,45,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-19-2016,46,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-19-2016,46,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-26-2016,47,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-26-2016,47,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-03-2016,48,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-03-2016,48,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-10-2016,49,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-10-2016,49,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-17-2016,50,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-17-2016,50,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-24-2016,51,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-24-2016,51,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-31-2016,52,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-31-2016,52,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-07-2017,1,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-07-2017,1,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-14-2017,2,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-14-2017,2,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-21-2017,3,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-21-2017,3,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-28-2017,4,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-28-2017,4,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-04-2017,5,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-04-2017,5,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-11-2017,6,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-11-2017,6,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-18-2017,7,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-18-2017,7,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Feb-25-2017,8,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-25-2017,8,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-04-2017,9,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-04-2017,9,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-11-2017,10,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-11-2017,10,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-18-2017,11,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-18-2017,11,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-25-2017,12,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-25-2017,12,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-01-2017,13,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-01-2017,13,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-08-2017,14,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-08-2017,14,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-15-2017,15,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-15-2017,15,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-22-2017,16,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-22-2017,16,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-29-2017,17,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-29-2017,17,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-06-2017,18,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-06-2017,18,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-13-2017,19,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-13-2017,19,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-20-2017,20,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-20-2017,20,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-03-2017,22,2016-17
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,Influenza Surveillance,Level 0,Insufficient Data,May-27-2017,21,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-27-2017,21,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-27-2017,21,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-03-2017,22,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-03-2017,22,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-10-2017,23,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jun-10-2017,23,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-10-2017,23,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-10-2017,23,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-17-2017,24,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-17-2017,24,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jun-17-2017,24,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jun-24-2017,25,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jun-24-2017,25,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-17-2017,24,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-24-2017,25,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-01-2017,26,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jul-01-2017,26,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-24-2017,25,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-01-2017,26,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-01-2017,26,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-08-2017,27,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jul-08-2017,27,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jun-24-2017,25,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jul-08-2017,27,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-08-2017,27,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-08-2017,27,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,Influenza Surveillance,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jul-15-2017,28,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jul-22-2017,29,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-22-2017,29,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-22-2017,29,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Jul-29-2017,30,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Jul-22-2017,29,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-22-2017,29,2016-17
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-29-2017,30,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-29-2017,30,2016-17
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Aug-05-2017,31,2016-17
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 0,Insufficient Data,Aug-05-2017,31,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jul-29-2017,30,2016-17
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Aug-05-2017,31,2016-17
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-05-2017,31,2016-17
